VS2,VSe2,VTe2,MoS2,MoSe2,MoTe2,TiS2,TiSe2,TiTe2,WS2,WSe2,WTe2,ScS2,ScSe2,ScTe2,NiS2,NiSe2,NiTe2,V,Mo,Ti,W,Sc,Ni,S2,Se2,Te2,AvgFormE,AvgMass,AvgRadius,AvgElecNeg,WeightDif,Formation E
0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,2,4,16,0,-0.6314,63.88993333,119.667,2.2656,475.1486667,-0.5446865
0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,1,2,18,0,-0.6557,66.75896667,120.667,2.2543,585.7143333,-0.33090319
0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,9,0,0,20,0,-1.0247,67.8322,129.1667,2.162,539.066,-1.97436937
0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,8,0,0,20,0,-0.9864,68.03173334,128.3334,2.171,401.8053334,-1.69633088
0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,7,0,0,20,0,-0.9481,68.23126667,127.5001,2.18,264.5446667,-1.42194396
0,4,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,6,0,0,20,0,-0.9098,68.4308,126.6668,2.189,127.284,-1.18332289
0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,5,0,0,20,0,-0.8715,68.63033334,125.8335,2.198,9.97666665,-0.976395
0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,4,0,0,20,0,-0.8332,68.82986667,125.0002,2.207,147.2373333,-0.8028162
0,7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,3,0,0,20,0,-0.7949,69.0294,124.1669,2.216,284.498,-0.67230633
0,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,8,0,0,0,2,0,0,20,0,-0.7566,69.22893333,123.3336,2.225,421.7586667,-0.53148006
0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,20,0,-0.7183,69.42846667,122.5003,2.234,559.0193333,-0.21840089
0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,1,0,9,0,0,20,0,-1.0685,67.7297,129.3333,2.159,540.091,-2.09408204
0,0,0,0,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,0,2,0,8,0,0,20,0,-1.074,67.82673334,128.6666,2.165,403.8553334,-1.73381317
0,0,0,0,0,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,3,0,7,0,0,20,0,-1.0795,67.92376667,127.9999,2.171,267.6196667,-1.37128589
0,0,0,0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,4,0,6,0,0,20,0,-1.085,68.0208,127.3332,2.177,131.384,-1.06725054
0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,20,0,-1.0905,68.11783334,126.6665,2.183,4.85166665,-0.82993682
0,0,0,0,0,0,0,6,0,0,0,0,0,4,0,0,0,0,0,0,6,0,4,0,0,20,0,-1.096,68.21486667,125.9998,2.189,141.0873333,-0.657596
0,0,0,0,0,0,0,7,0,0,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,20,0,-1.1015,68.3119,125.3331,2.195,277.323,-0.56058566
0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,0,20,0,-1.107,68.40893333,124.6664,2.201,413.5586667,-0.50742955
0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,20,0,-1.1125,68.50596667,123.9997,2.207,549.7943333,-0.43460456
0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,9,0,1,0,0,2,18,-0.7435,97.68336664,139,1.93727,841.568333,-0.5190666
0,0,0,0,0,0,0,0,8,0,0,0,0,2,0,0,0,0,0,0,8,0,2,0,0,4,16,-0.779,94.34439997,138,1.96124,672.9133331,-0.80836974
0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,7,0,3,0,0,6,14,-0.8145,91.00543331,137,1.98521,504.2583331,-1.4749805
0,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,6,0,4,0,0,8,12,-0.85,87.66646665,136,2.00918,335.6033331,-2.33289725
0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,5,0,5,0,0,10,10,-0.8855,84.32749999,135,2.03315,166.9483332,-2.70165581
0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0,0,4,0,6,0,0,12,8,-0.921,80.98853332,134,2.05712,1.70666682,-3.60776664
0,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,0,0,0,0,3,0,7,0,0,14,6,-0.9565,77.64956666,133,2.08109,170.3616668,-3.96756723
